07/07/2010;01/06/2016;33123456789;jean.dupont@yahoo.com;Bernadette DUPONT;33660708090;bernadette.dupont@yahoo.com;Gérard LAPEYRE;33158102030;gerard.lapeyre@orange.fr
25/08/2006;14/09/2014;33148484848; tacou.nora@gmail.com;Nadia TACOU;33689898989;nad.tacou@free.fr;Pierre LEFEBVRE;33148454749;pierre.lefebvre@laposte.net
06/07/2011;02/03/2015;33190807060; zwagr@hotmail.fr;Sergueï ZWAGROSKY;33636153620;serguei.zwagrosky@hotmail.com;Marie-France DURET;33191909090;mf.duret@gmail.com
13/07/2015;13/07/2015;33160102030; delpoulet@lapost.net;Marcel DUPOULET;33698506070;dupouletmarcel@yahoo.com;Amadou CISSE;33160708090;amadou.cisse@wanadoo.fr
09/07/2012;14/09/2015;33156575859; michel.dusoleil@yahoo.fr;Michel DUSOLEIL;33651525354;dusoleil.michel@gmail.fr;Amandine LEPONT;33158585858;amandine.lepont@hotmail.com
08/07/2014;08/07/2014;33180509030; robin.charles@orange.fr;Olivier CHARLES;33666666666;olivier.charles@orange.fr;Patrick SAMIR;33180907050;samirpatrick@free.fr
11/07/2008;14/09/2015;33130354045;francoise.durant@free.fr;Gabriel DURANT;33788997766;gabriel.durant@yahoo.fr;Eric SAID;33130303030;saideric@laposte.net
15/07/2009;15/07/2014;33340506070;elkebir@alice-adsl.fr;Yazid ELKEBIR;33750607080;elkebiryazid@gmail.fr;Hamady DOSSO;33149404040;hamady.dosso@wanadoo.com
11/07/2005;15/07/2010;33140506080; vincent.simon@hotmail.com;Dominique SIMON;33726858585;dominique.simon@hotmail.fr;Bernard SIMON;3341424344;bernard.simon@hotmail.com
08/07/2013;01/09/2015;33235507090; patricia.lola@orange.com;Raphaël PORCELET;33650505050;porceletraphael@orange.fr;Henri MICHELET;33144444444;henri.michelet@yahoo.com
